Id,Keywords,Authors,Accesses,Journal,main_topic_15
0,"['Typology', 'Anti-corruption policies', 'Prevention mechanisms', 'International organizations']","Jean-Patrick Villeneuve, Giulia Mugellini & Marlen Heide",554,European Journal on Criminal Policy and Research,Garbage
1,"['Memory reconsolidation', 'Trauma', 'Post-traumatic stress disorder', 'Police', 'Psychological distress']",Nicholas L. Kerswell & Esben Strodl,613,Journal of Police and Criminal Psychology,Computer Science
2,"['Community', 'Vulnerable', 'Development', 'School readiness', 'Early childhood', 'Transition']","K. M. Clanchy, R. Sulek, E. Baque, A. M. Caine, E. Cardell, L. Irvine-Brown, C. Irwin, J. Headrick, N. Mahler, L. Vincze & K. A. Weir",62,The Australian Educational Researcher,Biomedicine
3,"['Beltrami fields', 'Field line dynamics', 'Dynamical systems', '(Magneto-)Hydrodynamics', 'Nodal sets', 'Nodal domains', '35Q31', '35Q35', '35Q85', '37C10', '37E35', '37B20', '53Z05', '58K45', '60B05', '76W05']",Wadim Gerner,62,Annals of Global Analysis and Geometry,Computer Science
4,"['Geography', 'Inter-firm transaction', 'Tax strategy', 'Katz-Bonacich centrality', 'Tax discrimination']",Ryo Itoh & Zonghui Li,398,The Japanese Economic Review,Geography
5,"['Construal level theory', 'Crisis type', 'Apology message appeal', 'Crisis management communication']",So Young Lee,836,Journal of Business Ethics,Computer Science
6,"['Practical reasoning', 'Aristotelian Thesis', 'Instrumental reasoning', 'Intentions', 'Dancy', 'Raz']",John Brunero,218,The Journal of Ethics,Psychology
7,"['Anti-money laundering', 'Deterrence', 'Rational choice', 'Asset recovery']",Samuel Sittlington & Jackie Harvey,8106,"Crime, Law and Social Change",Biomedicine
8,"['Patent policy', 'Income inequality', 'Innovation', 'Endogenous market structure', 'D30', 'O30', 'O40']",Angus C. Chu,22,Economic Theory,Education
9,"['international students', 'recruitment', 'periphery', 'policies', 'internationalization']",Cristina Sin,235,Higher Education Policy,Education
10,"['Anti-GAD Ataxia', 'Gluten Ataxia', 'Gluten Free Diet', 'MR Spectroscopy', 'Immune Ataxia']","M. Hadjivassiliou, P. G. Sarrigiannis, P. D. Shanmugarajah, D. S. Sanders, R. A. Grünewald, P. Zis & N. Hoggard",641,The Cerebellum,Computer Science
11,"['Curriculum', 'Covid-19', 'Crisis', 'Curriculum theory']",Hannah Spector,246,PROSPECTS,Geography
12,"['Virtual reality', 'Touchscreen', 'dlPFC', 'Behavioural control', 'Food-valuation network']",Sebastian M. Max & Christian Plewnia,486,Brain Structure and Function,Biomedicine
13,"['EU', 'Mining', 'Production', 'Resources potential', 'GDP', 'Global trends', 'Jevons paradox', 'EU Mining Agency', 'COVID-19']",Manuel Regueiro & Antonio Alonso-Jimenez,438,Mineral Economics,Geography 2
14,[],Juan Wang,427,"Crime, Law and Social Change",Biomedicine
15,"['Professional higher education', 'Internal security', 'Stakeholder collaboration', 'Collaboration forms', 'Phenomenography']",Anne Valk & Mairit Kratovitš,548,Empirical Research in Vocational Education and Training,Mathematics
16,"['018', 'R11', 'R58']",Enrique López-Bazo,72,The Annals of Regional Science,Philosophy
17,"['Generalized semi-continuity', 'Set optimization', 'Set-valued map', 'Saddle point', 'Vector optimization', '49J53', '49K35', '90C29']",Chuang-liang Zhang & Nan-jing Huang,125,Positivity,Computer Science
